ID_Compte,ID_Client,Type_Compte,Solde,Date_Ouverture,Statut
5001,1001,Epargne,4011597,2024-01-15,Actif
5002,1001,Courant,2290475,2024-01-15,Bloqué
5003,1002,Epargne,2374342,2024-01-15,Actif
5004,1003,Epargne,3974882,2024-01-15,Bloqué
5005,1003,Epargne,2364152,2024-01-15,Actif
5006,1004,Epargne,2845199,2024-01-15,Actif
5007,1004,Epargne,302879,2024-01-15,Bloqué
5008,1005,Epargne,3660919,2024-01-15,Bloqué
5009,1006,Courant,1645069,2024-01-15,Bloqué
5010,1006,Epargne,1101529,2024-01-15,Actif
5011,1007,Courant,375851,2024-01-15,Actif
5012,1008,Courant,790521,2024-01-15,Bloqué
5013,1009,Epargne,793431,2024-01-15,Actif
5014,1009,Courant,4566691,2024-01-15,Actif
5015,1010,Epargne,3955128,2024-01-15,Actif
5016,1010,Epargne,2644149,2024-01-15,Bloqué
5017,1011,Courant,4766179,2024-01-15,Actif
5018,1012,Courant,3455473,2024-01-15,Actif
5019,1013,Epargne,4105581,2024-01-15,Actif
5020,1014,Courant,27738,2024-01-15,Bloqué
5021,1014,Courant,2760536,2024-01-15,Bloqué
5022,1015,Epargne,1075750,2024-01-15,Bloqué
5023,1015,Epargne,1567419,2024-01-15,Actif
5024,1016,Courant,3799653,2024-01-15,Bloqué
5025,1016,Courant,68146,2024-01-15,Bloqué
5026,1017,Courant,1422158,2024-01-15,Bloqué
5027,1017,Epargne,4272487,2024-01-15,Bloqué
5028,1018,Epargne,750148,2024-01-15,Actif
5029,1019,Epargne,2664567,2024-01-15,Actif
5030,1020,Epargne,3167655,2024-01-15,Actif
5031,1021,Epargne,2715097,2024-01-15,Bloqué
5032,1021,Courant,2144066,2024-01-15,Bloqué
5033,1022,Courant,941741,2024-01-15,Bloqué
5034,1023,Courant,3350881,2024-01-15,Bloqué
5035,1023,Courant,2424954,2024-01-15,Bloqué
5036,1024,Courant,1070456,2024-01-15,Bloqué
5037,1025,Epargne,3084192,2024-01-15,Bloqué
5038,1026,Courant,2025890,2024-01-15,Actif
5039,1026,Epargne,4380637,2024-01-15,Bloqué
5040,1027,Courant,468064,2024-01-15,Actif
5041,1028,Courant,2702450,2024-01-15,Bloqué
5042,1029,Courant,4841797,2024-01-15,Bloqué
5043,1030,Epargne,416706,2024-01-15,Bloqué
5044,1031,Epargne,3781903,2024-01-15,Actif
5045,1032,Epargne,132623,2024-01-15,Bloqué
5046,1032,Epargne,-24705,2024-01-15,Actif
5047,1033,Courant,3504231,2024-01-15,Bloqué
5048,1034,Courant,528974,2024-01-15,Bloqué
5049,1035,Epargne,3379824,2024-01-15,Actif
5050,1036,Epargne,3091205,2024-01-15,Bloqué
5051,1037,Epargne,3101143,2024-01-15,Actif
5052,1037,Courant,2867305,2024-01-15,Actif
5053,1038,Epargne,4386252,2024-01-15,Actif
5054,1039,Courant,140717,2024-01-15,Bloqué
5055,1040,Epargne,4412182,2024-01-15,Bloqué
5056,1040,Courant,2026281,2024-01-15,Bloqué
5057,1041,Courant,2262317,2024-01-15,Actif
5058,1041,Courant,220258,2024-01-15,Bloqué
5059,1042,Courant,1678737,2024-01-15,Actif
5060,1043,Courant,3695019,2024-01-15,Actif
5061,1044,Courant,3324446,2024-01-15,Bloqué
5062,1045,Courant,423486,2024-01-15,Actif
5063,1046,Courant,4782763,2024-01-15,Bloqué
5064,1046,Epargne,1937295,2024-01-15,Bloqué
5065,1047,Courant,3419194,2024-01-15,Bloqué
5066,1048,Courant,4620090,2024-01-15,Actif
5067,1048,Epargne,4612813,2024-01-15,Bloqué
5068,1049,Epargne,3147356,2024-01-15,Bloqué
5069,1050,Epargne,1201728,2024-01-15,Bloqué
5070,1050,Epargne,1492488,2024-01-15,Bloqué
5071,1051,Courant,2472759,2024-01-15,Actif
5072,1052,Courant,4667635,2024-01-15,Bloqué
5073,1052,Epargne,4624860,2024-01-15,Actif
5074,1053,Courant,2089058,2024-01-15,Actif
5075,1053,Epargne,613290,2024-01-15,Bloqué
5076,1054,Courant,4443236,2024-01-15,Actif
5077,1054,Courant,2202019,2024-01-15,Bloqué
5078,1055,Courant,1528428,2024-01-15,Actif
5079,1056,Courant,2743107,2024-01-15,Bloqué
5080,1056,Courant,1726772,2024-01-15,Actif
5081,1057,Epargne,1985019,2024-01-15,Actif
5082,1058,Courant,4581176,2024-01-15,Bloqué
5083,1058,Epargne,3143222,2024-01-15,Bloqué
5084,1059,Epargne,2144137,2024-01-15,Bloqué
5085,1059,Epargne,3859125,2024-01-15,Actif
5086,1060,Epargne,1653956,2024-01-15,Bloqué
5087,1060,Epargne,3422297,2024-01-15,Actif
5088,1061,Courant,86062,2024-01-15,Bloqué
5089,1062,Epargne,1228519,2024-01-15,Actif
5090,1062,Epargne,1879536,2024-01-15,Bloqué
5091,1063,Epargne,4569124,2024-01-15,Bloqué
5092,1064,Epargne,4065414,2024-01-15,Bloqué
5093,1064,Courant,2904267,2024-01-15,Actif
5094,1065,Epargne,1493904,2024-01-15,Actif
5095,1066,Courant,356968,2024-01-15,Actif
5096,1067,Courant,1891404,2024-01-15,Actif
5097,1067,Courant,26684,2024-01-15,Actif
5098,1068,Epargne,457092,2024-01-15,Bloqué
5099,1068,Epargne,81967,2024-01-15,Actif
5100,1069,Courant,90309,2024-01-15,Bloqué
5101,1069,Epargne,93802,2024-01-15,Bloqué
5102,1070,Courant,757939,2024-01-15,Actif
5103,1071,Courant,4366232,2024-01-15,Bloqué
5104,1072,Epargne,3279408,2024-01-15,Actif
5105,1072,Epargne,3356004,2024-01-15,Bloqué
5106,1073,Courant,2466369,2024-01-15,Actif
5107,1074,Courant,3349720,2024-01-15,Bloqué
5108,1075,Epargne,420726,2024-01-15,Actif
5109,1075,Courant,643621,2024-01-15,Bloqué
5110,1076,Epargne,4696749,2024-01-15,Actif
5111,1076,Courant,1877421,2024-01-15,Actif
5112,1077,Epargne,340590,2024-01-15,Actif
5113,1077,Epargne,4505271,2024-01-15,Actif
5114,1078,Epargne,81349,2024-01-15,Actif
5115,1079,Epargne,595398,2024-01-15,Bloqué
5116,1080,Courant,4703789,2024-01-15,Bloqué
5117,1081,Epargne,1123990,2024-01-15,Actif
5118,1081,Epargne,400438,2024-01-15,Actif
5119,1082,Courant,587687,2024-01-15,Bloqué
5120,1082,Epargne,2687845,2024-01-15,Actif
5121,1083,Epargne,4065480,2024-01-15,Actif
5122,1083,Epargne,4589216,2024-01-15,Bloqué
5123,1084,Courant,4864676,2024-01-15,Bloqué
5124,1084,Courant,2427822,2024-01-15,Actif
5125,1085,Courant,2197912,2024-01-15,Actif
5126,1086,Courant,3218386,2024-01-15,Bloqué
5127,1086,Epargne,843813,2024-01-15,Actif
5128,1087,Epargne,3680714,2024-01-15,Bloqué
5129,1088,Courant,1061549,2024-01-15,Actif
5130,1088,Courant,3565318,2024-01-15,Bloqué
5131,1089,Courant,170300,2024-01-15,Actif
5132,1089,Epargne,4599132,2024-01-15,Actif
5133,1090,Epargne,53520,2024-01-15,Bloqué
5134,1090,Epargne,3203098,2024-01-15,Actif
5135,1091,Courant,3143811,2024-01-15,Actif
5136,1092,Epargne,2476072,2024-01-15,Bloqué
5137,1093,Courant,480723,2024-01-15,Actif
5138,1093,Epargne,2264935,2024-01-15,Bloqué
5139,1094,Epargne,595263,2024-01-15,Bloqué
5140,1094,Epargne,2018547,2024-01-15,Bloqué
5141,1095,Epargne,847349,2024-01-15,Actif
5142,1096,Courant,3269304,2024-01-15,Bloqué
5143,1096,Epargne,2714396,2024-01-15,Bloqué
5144,1097,Epargne,4936129,2024-01-15,Actif
5145,1097,Epargne,2639934,2024-01-15,Actif
5146,1098,Epargne,1440129,2024-01-15,Bloqué
5147,1098,Epargne,2394844,2024-01-15,Bloqué
5148,1099,Epargne,3104580,2024-01-15,Bloqué
5149,1100,Epargne,905360,2024-01-15,Actif
5150,1100,Courant,4564566,2024-01-15,Actif
5151,1101,Courant,3628026,2024-01-15,Bloqué
5152,1101,Courant,3382128,2024-01-15,Bloqué
5153,1102,Epargne,1980220,2024-01-15,Bloqué
5154,1103,Epargne,3112428,2024-01-15,Actif
5155,1104,Epargne,4834216,2024-01-15,Bloqué
5156,1104,Epargne,4510426,2024-01-15,Actif
5157,1105,Courant,867457,2024-01-15,Actif
5158,1105,Epargne,1345348,2024-01-15,Actif
5159,1106,Epargne,3560922,2024-01-15,Actif
5160,1106,Courant,777171,2024-01-15,Bloqué
5161,1107,Courant,3689461,2024-01-15,Bloqué
5162,1108,Epargne,4887450,2024-01-15,Actif
