ID_Credit,ID_Client,Montant,Duree,Taux,Mensualite,Statut_Credit,Retard_Paiement
7001,1190,3102133.0,12,10.77,206343,Clôturé,7
7002,1124,9028991.0,120,8.67,277365,Défaut,2
7003,1186,6050102.0,60,7.51,148789,Actif,6
7004,1214,,24,6.57,118789,Actif,0
7005,1107,8766346.0,24,5.86,391070,Actif,6
7006,1128,4591430.0,120,9.36,361387,Actif,1
7007,1177,631211.0,12,9.83,268510,Clôturé,6
7008,1074,2373581.0,120,6.77,130282,Actif,0
7009,1276,5351895.0,60,9.63,397331,Défaut,4
7010,1243,2601222.0,60,10.81,105005,Défaut,1
7011,1267,5043032.0,12,10.49,310958,Actif,3
7012,1148,4712305.0,120,11.81,237654,Défaut,6
7013,1300,5255170.0,24,5.28,310232,Actif,7
7014,1059,5846608.0,24,5.02,96663,Actif,7
7015,1123,2802229.0,12,10.46,89346,Défaut,1
7016,1079,4593157.0,24,8.2,205200,Clôturé,7
7017,1012,1140206.0,12,10.69,70680,Clôturé,5
7018,1168,5546354.0,60,10.17,99806,Actif,0
7019,1221,2621873.0,24,7.3,279488,Défaut,4
7020,1030,1859464.0,36,10.7,145876,Actif,6
7021,1028,7015084.0,60,6.9,252226,Défaut,7
7022,1111,7375620.0,24,5.79,80747,Actif,1
7023,1252,7279786.0,120,8.38,348290,Défaut,7
7024,1013,3341047.0,120,7.66,238009,Défaut,0
7025,1106,2492032.0,60,11.44,109211,Clôturé,7
7026,1019,1071287.0,12,6.83,214751,Actif,8
7027,1298,9974564.0,120,6.57,227366,Défaut,8
7028,1091,1897897.0,60,9.63,180325,Clôturé,5
7029,1294,6757158.0,24,10.87,342733,Défaut,0
7030,1185,495368.0,24,8.54,296042,Clôturé,2
7031,1140,1556030.0,60,7.24,223484,Clôturé,0
7032,1249,8804862.0,24,8.85,248515,Clôturé,3
7033,1230,1622557.0,60,8.11,350435,Clôturé,1
7034,1060,8662706.0,60,7.21,310766,Défaut,0
7035,1052,2022069.0,60,7.89,342097,Défaut,0
7036,1089,1824974.0,120,11.74,384253,Clôturé,8
7037,1096,9734375.0,24,9.58,289184,Clôturé,5
7038,1165,1210586.0,24,10.91,224049,Défaut,7
7039,1081,6395071.0,60,5.8,395458,Actif,0
7040,1218,6027022.0,36,10.81,203083,Défaut,8
7041,1222,6572839.0,12,5.32,136064,Clôturé,2
7042,1229,7165417.0,12,6.78,152719,Actif,1
7043,1192,6891709.0,24,8.2,149918,Défaut,5
7044,1005,2108009.0,60,5.33,382000,Défaut,1
7045,1071,7858212.0,60,9.61,314344,Actif,7
7046,1223,372773.0,120,10.15,340049,Clôturé,7
7047,1250,8828410.0,24,9.84,141042,Défaut,2
7048,1162,2037347.0,60,9.6,367802,Clôturé,8
7049,1017,6753568.0,60,11.86,180148,Clôturé,6
7050,1209,6052216.0,36,8.17,119925,Actif,6
7051,1001,8894877.0,36,10.9,337208,Clôturé,8
