ID_Transaction,ID_Client,Date,Nature,Montant,Canal,Agence
900001,1244,2025-06-01,Débit,476706,Mobile,Yopougon
900002,1185,2025-06-01,Crédit,592569,Mobile,Yopougon
900003,1011,2025-06-01,Crédit,132126,Mobile,Cocody
900004,1296,2025-06-01,Débit,303433,Mobile,Yopougon
900005,1262,2025-06-01,Crédit,777303,Web,Plateau
900006,1196,2025-06-01,Crédit,491279,GAB,Cocody
900007,1173,2025-06-01,Crédit,666938,Web,Plateau
900008,1041,2025-06-01,Débit,365317,GAB,Yopougon
900009,1163,2025-06-01,Crédit,749943,Mobile,Bouaké
900010,1139,2025-06-01,Crédit,385805,Web,Bouaké
900011,1086,2025-06-01,Débit,29223,GAB,Cocody
900012,1129,2025-06-01,Débit,225800,GAB,Bouaké
900013,1053,2025-06-01,Débit,71891,Web,Plateau
900014,1014,2025-06-01,Crédit,554435,Agence,Plateau
900015,1135,2025-06-01,Débit,93406,Web,Yopougon
900016,1118,2025-06-01,Débit,778422,Mobile,Bouaké
900017,1065,2025-06-01,Débit,557329,GAB,Plateau
900018,1018,2025-06-01,Crédit,345998,Web,Bouaké
900019,1277,2025-06-01,Crédit,580191,Web,Cocody
900020,1277,2025-06-01,Débit,624531,Web,Bouaké
900021,1269,2025-06-01,Crédit,369032,Web,Cocody
900022,1046,2025-06-01,Crédit,327823,Mobile,Bouaké
900023,1134,2025-06-01,Débit,323319,Agence,Plateau
900024,1268,2025-06-01,Débit,365589,Mobile,Bouaké
900025,1274,2025-06-01,Débit,726179,Web,Bouaké
900026,1154,2025-06-01,Débit,456344,Mobile,Cocody
900027,1004,2025-06-01,Crédit,202731,Web,Bouaké
900028,1203,2025-06-01,Débit,176200,Web,Bouaké
900029,1113,2025-06-01,Crédit,88057,Web,Cocody
900030,1265,2025-06-01,Crédit,303505,Mobile,Bouaké
900031,1097,2025-06-01,Débit,196267,GAB,Yopougon
900032,1057,2025-06-01,Crédit,652736,Web,Yopougon
900033,1252,2025-06-01,Débit,341219,Agence,Cocody
900034,1026,2025-06-01,Débit,199969,Agence,Yopougon
900035,1138,2025-06-01,Débit,754937,Web,Plateau
900036,1120,2025-06-01,Débit,163003,Agence,Bouaké
900037,1112,2025-06-01,Crédit,445656,Mobile,Bouaké
900038,1191,2025-06-01,Crédit,735789,Agence,Yopougon
900039,1042,2025-06-01,Débit,63760,Mobile,Bouaké
900040,1037,2025-06-01,Crédit,195425,GAB,Yopougon
900041,1196,2025-06-01,Débit,132885,GAB,Bouaké
900042,1227,2025-06-01,Débit,778449,Agence,Cocody
900043,1236,2025-06-01,Débit,551453,GAB,Bouaké
900044,1200,2025-06-01,Crédit,343756,GAB,Plateau
900045,1282,2025-06-01,Débit,270617,Web,Yopougon
900046,1102,2025-06-01,Crédit,59617,GAB,Plateau
900047,1121,2025-06-01,Crédit,345277,Agence,Cocody
900048,1142,2025-06-01,Débit,420035,GAB,Plateau
900049,1022,2025-06-01,Crédit,726846,GAB,Yopougon
900050,1046,2025-06-01,Débit,170358,Web,Plateau
900051,1174,2025-06-01,Débit,-25000,Mobile,Cocody
900052,1275,2025-06-01,Débit,136939,Web,Cocody
900053,1163,2025-06-01,Crédit,465030,GAB,Plateau
900054,1194,2025-06-01,Crédit,764587,GAB,Yopougon
900055,1021,2025-06-01,Crédit,745951,Web,Yopougon
900056,1278,2025-06-01,Crédit,203994,GAB,Yopougon
900057,1166,2025-06-01,Crédit,293698,GAB,Plateau
900058,1272,2025-06-01,Débit,476213,Mobile,Yopougon
900059,1278,2025-06-01,Crédit,481136,Agence,Bouaké
900060,1095,2025-06-01,Débit,654838,Mobile,Cocody
900061,1165,2025-06-01,Débit,695266,Web,Cocody
